#Types Before Cut: 11091
#Types After Cut: 9694
#Search Hits: 0
456	7	18.453	пытаюсь
457	7	18.453	ребят
458	7	18.453	секунд
459	7	18.453	скажи
460	7	18.453	сорок
461	7	18.453	супер
462	7	18.453	троллейбус
463	7	18.453	человечек
464	7	18.453	читаю
465	7	18.453	чё
466	16	18.271	реально
467	16	18.271	уж
468	13	18.211	другую
469	153	18.197	еще
470	9	17.846	брали
471	9	17.846	друзей
472	9	17.846	едем
473	9	17.846	жил
474	9	17.846	институте
475	9	17.846	историю
476	9	17.846	маленькая
477	9	17.846	мое
478	9	17.846	нечего
479	9	17.846	смеется
480	9	17.846	твоя
481	17	16.879	разные
482	78	16.844	больше
483	10	16.793	мной
484	10	16.793	написано
485	23	16.673	равно
486	29	16.563	соответственно
487	25	16.536	лучше
488	11	16.318	посмотреть
489	11	16.318	скажем
490	11	16.318	считаю
491	19	16.181	говоря
492	12	16.130	друзья
493	13	16.114	улице
494	13	16.114	языка
495	6	15.817	distinct
496	6	15.817	onion
497	6	15.817	part
498	6	15.817	автобус
499	6	15.817	автобусе
500	6	15.817	ам
501	6	15.817	антифриз
502	6	15.817	бабуля
503	6	15.817	бешбармак
504	6	15.817	бутово
505	6	15.817	вау
506	6	15.817	верно
507	6	15.817	волосы
508	6	15.817	восемнадцать
509	6	15.817	выпускной
510	6	15.817	вышла
511	6	15.817	гончар
512	6	15.817	готовился
513	6	15.817	жигули
514	6	15.817	загрузили
515	6	15.817	запомнила
516	6	15.817	идёт
517	6	15.817	книги
518	6	15.817	колесо
519	6	15.817	коллектив
520	6	15.817	кормила
521	6	15.817	красиво
522	6	15.817	культура
523	6	15.817	лагере
524	6	15.817	лингвистике
525	6	15.817	литературу
526	6	15.817	лук
527	6	15.817	любил
528	6	15.817	любимый
529	6	15.817	математике
530	6	15.817	мгм
531	6	15.817	мем
532	6	15.817	молодец
533	6	15.817	мужик
534	6	15.817	немец
535	6	15.817	ногой
536	6	15.817	обед
537	6	15.817	орешки
538	6	15.817	погрей
539	6	15.817	подумала
540	6	15.817	покупайте
541	6	15.817	полу
542	6	15.817	польский
543	6	15.817	понравился
544	6	15.817	поступил
545	6	15.817	преподаватели
546	6	15.817	причём
547	6	15.817	пятёрка
548	6	15.817	саш
549	6	15.817	семьдесят
550	6	15.817	слышно
551	6	15.817	снимали
552	6	15.817	снимать
553	6	15.817	спал
554	6	15.817	спрашивают
555	6	15.817	спросить
556	6	15.817	студенты
557	6	15.817	сынок
558	6	15.817	убирай
559	6	15.817	учителей
560	6	15.817	учителем
561	6	15.817	худи
562	6	15.817	чувак
563	6	15.817	шёл
564	6	15.817	щас
565	6	15.817	этаж
566	6	15.817	эх
567	21	15.801	виктор
568	17	15.450	заниматься
569	8	15.433	дверь
570	8	15.433	интересный
571	8	15.433	паре
572	8	15.433	работала
573	8	15.433	родителей
574	64	15.256	тогда
575	16	15.114	естественно
576	24	15.094	понятно
577	355	14.547	но
578	18	14.545	е
579	18	14.545	разных
580	18	14.545	сначала
581	9	14.540	берут
582	9	14.540	какого
583	9	14.540	машине
584	9	14.540	можете
585	9	14.540	половиной
586	9	14.540	тяжело
587	9	14.540	часа
588	73	14.416	поэтому
589	50	14.327	него
590	13	14.308	завтра
591	13	14.308	минус
592	13	14.308	спокойно
593	20	14.264	каких
594	10	14.185	пришла
595	22	14.157	дальше
596	11	14.092	рядом
597	99	13.840	чтобы
598	16	13.761	наша
599	16	13.761	совершенно
600	26	13.432	плюс
601	15	13.393	вас
602	15	13.393	метро
603	18	13.384	каким
604	24	13.290	чуть
605	5	13.180	num
606	5	13.180	арахис
607	5	13.180	бабушку
608	5	13.180	баллов
609	5	13.180	венера
610	5	13.180	вернее
611	5	13.180	видела
612	5	13.180	вкусный
613	5	13.180	вложил
614	5	13.180	вырезать
615	5	13.180	выставках
616	5	13.180	вышло
617	5	13.180	гешу
618	5	13.180	голову
619	5	13.180	горбачёв
620	5	13.180	гости
621	5	13.180	грязь
622	5	13.180	гэкаю
623	5	13.180	двадцати
624	5	13.180	делаем
625	5	13.180	доехали
626	5	13.180	ездила
627	5	13.180	ездит
628	5	13.180	ест
629	5	13.180	жестко
630	5	13.180	жесть
631	5	13.180	живу
632	5	13.180	жила
633	5	13.180	зашли
634	5	13.180	идешь
635	5	13.180	ии
636	5	13.180	ильямихайлович
637	5	13.180	имею
638	5	13.180	инопланетян
639	5	13.180	итак
640	5	13.180	камеру
641	5	13.180	каракатицах
